State,Buoy_ID,Buoy_Name,Location_Area,Primary_Surf_Buoy
Oregon,46050,Stonewall Bank,"20 NM W of Newport, OR",FALSE
Oregon,46089,Tillamook,"85 NM WNW of Tillamook, OR",FALSE
Washington,46041,Cape Elizabeth,"45 NM NW of Aberdeen, WA",TRUE
Washington,46087,Neah Bay,"6 NM N of Cape Flattery, WA",FALSE
Washington,46088,New Dungeness,"17 NM NE of Port Angeles, WA",FALSE
Alaska,46082,Cape Suckling,"35 NM SE of Kayak Island, AK",TRUE
Alaska,46083,Cape Edgecumbe,"Cape Edgecumbe, AK",FALSE
Hawaii,51001,NW Hawaii,"NW of Kauai, Hawaii",TRUE
Hawaii,51002,SW Hawaii,"SW of Honolulu, Hawaii",FALSE
Hawaii,51004,Kaneohe Bay,"Off Oahu, HI",FALSE
Hawaii,51101,South Point,"South of Big Island, HI",FALSE
